tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,anonymous_operator,source_node,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m,elevation_m,exposure_definition,flash_density_status,age_status,tower_source,terrain_source,hand_source,water_power_source,population_source
SUNWAY_OPERATOR_A_701895,101.6123955,3.0789034899999996,NR,475.6169768691159,0.527772427,0.8022271439367415,1.0523406782809896,,100.42478376334783,,8063.88,Operator A,701895,4G|5G,156,4,2024.12.31_12.06.24,2025.03.06_12.01.31,-96.0,8.0,21.14985,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701905,101.6055148,3.07049259,NR,88.82418237358458,0.0,14.096096098071754,19.57526035598886,,530.1697870269946,,6763.88,Operator A,701905,4G|5G,1655,19,2024.12.03_15.43.16,2025.04.02_13.41.33,-89.0,6.0,7.7408895,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701911,101.6087852,3.06551172,NR,267.71583617284483,4.552905083,2.1838313701679684,4.123692657912853,,995.2872106775418,,6492.87,Operator A,701911,4G|5G,1273,11,2024.12.03_15.47.44,2025.03.20_13.38.20,-82.0,11.0,21.350883,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701934,101.5940968,3.05714478,NR,67.66856712592084,0.0,6.508715318256584,11.327477792380582,,506.06008015231777,,5419.3,Operator A,701934,5G,13,2,2024.12.31_12.24.45,2025.02.14_12.31.40,-100.0,4.0,14.027934,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701997,101.5981089,3.06166221,NR,90.29812490769456,1.677021265,0.7513969955216485,1.2612532195921393,,851.9432857213034,,6541.7,Operator A,701997,4G|5G,35,3,2024.12.10_12.44.00,2025.02.14_12.37.47,-99.0,6.0,18.22871,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_702000,101.5986784,3.06399857,NR,27.746134615781216,0.149824142,0.7154723639003069,1.9178344269131968,,819.8994777313702,,5781.2,Operator A,702000,4G|5G,40,2,2024.12.31_12.25.13,2025.02.14_12.32.03,-94.5,6.0,18.26298,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_702010,101.5941521,3.057131570000001,NR,67.82368022001111,0.0,6.508715318256584,11.327477792380582,,509.12428625547983,,5419.3,Operator A,702010,4G|5G,107,3,2024.12.31_12.24.56,2025.03.06_11.48.37,-89.0,6.0,14.027934,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_702023,101.5966828,3.06167319,NR,248.82828378508066,4e-05,2.947521399456763,4.124491047075342,,932.7776628389387,,6811.16,Operator A,702023,4G|5G,568,5,2024.12.10_12.44.02,2025.03.06_11.51.17,-90.0,11.0,15.904019,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_702044,101.598582,3.06234283,NR,37.05020332706143,5.232035637,2.61843517734401,4.4681535121648,,900.4718717090351,,6607.49,Operator A,702044,4G|5G,55,3,2024.12.31_12.21.36,2025.03.06_11.51.41,-96.0,6.0,20.354713,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_702063,101.6078638,3.06221024,NR,292.44909276359624,8e-05,4.260910296423792,6.722066474670526,,1085.825469530609,,5961.55,Operator A,702063,4G|5G,127,3,2024.12.10_12.14.24,2025.03.20_13.46.59,-95.0,6.0,-1.0796025,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
