tower_id,anonymous_operator,source_node,lon,lat,radio,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m
SUNWAY_OPERATOR_C_810850,Operator C,810850,101.608386,3.07346889,LTE,4G,3,1,2024.12.12_11.56.00,2024.12.12_11.56.17,-87.0,6.0
SUNWAY_OPERATOR_C_810851,Operator C,810851,101.6056583,3.07006163,LTE,4G,213,4,2024.12.12_12.03.45,2025.01.16_11.29.53,-89.0,6.0
SUNWAY_OPERATOR_C_810853,Operator C,810853,101.5943709,3.06151378,LTE,4G,3,1,2025.02.14_12.04.26,2025.02.14_12.04.28,-90.0,11.0
SUNWAY_OPERATOR_C_810854,Operator C,810854,101.6080687,3.06685087,NR,4G|5G,13,4,2024.12.03_11.39.16,2025.03.06_12.06.56,-97.0,8.0
SUNWAY_OPERATOR_C_810856,Operator C,810856,101.6102056,3.07577528,LTE,4G,2,1,2024.12.31_11.34.02,2024.12.31_11.34.03,-72.0,6.0
SUNWAY_OPERATOR_C_810857,Operator C,810857,101.5998876,3.06335717,NR,4G|5G,172,5,2024.12.10_13.18.24,2025.03.20_13.08.15,-91.0,8.0
SUNWAY_OPERATOR_C_810858,Operator C,810858,101.5940924,3.05825696,NR,4G|5G,16,2,2024.12.31_11.49.00,2025.03.06_12.19.36,-79.0,7.0
SUNWAY_OPERATOR_C_811172,Operator C,811172,101.612344,3.0789034899999996,LTE,4G,5,2,2024.12.31_11.30.55,2025.02.14_11.45.14,-82.0,6.0
SUNWAY_OPERATOR_C_811370,Operator C,811370,101.594066,3.0604101,LTE,4G,26,2,2025.02.14_12.03.59,2025.03.06_12.22.12,-85.0,11.0
SUNWAY_OPERATOR_C_812198,Operator C,812198,101.6018769,3.0654846,NR,4G|5G,141,9,2024.12.03_11.34.54,2025.03.20_13.05.35,-82.0,6.0
SUNWAY_OPERATOR_C_816036,Operator C,816036,101.6083384,3.0734496,LTE,4G,13,1,2024.12.12_11.55.34,2024.12.12_11.58.30,-89.0,6.0
SUNWAY_OPERATOR_C_816192,Operator C,816192,101.5920181,3.057131570000001,NR,4G|5G,141,3,2024.12.31_11.44.16,2025.03.06_12.19.32,-72.0,6.0
SUNWAY_OPERATOR_C_816442,Operator C,816442,101.6119641,3.0789034899999996,NR,4G|5G,35,1,2024.12.31_11.31.46,2024.12.31_11.32.14,-75.0,8.0
SUNWAY_OPERATOR_C_816443,Operator C,816443,101.6036778,3.06045136,NR,4G|5G,436,4,2024.12.10_13.12.37,2025.03.20_13.06.21,-92.0,6.0
