node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
701688,11,24,-85.0,-5.5,9.0,524.6753799387245,41.0,4G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-31T12:16:20Z
701688,12,61,-79.0,2.0,9.0,83.70534147987385,4.0,5G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-01-07T10:29:59Z
701688,13,20,-94.0,-3.0,6.0,535.7937342871554,43.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-01-16T13:57:39Z
701688,15,9,-86.0,0.0,4.0,532.9975519725784,38.0,5G,Operator C,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-02-14T11:22:28Z
701688,16,90,-85.5,-0.5,9.0,119.55669162464515,4.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-02-20T12:43:11Z
701688,17,23,-91.0,0.0,6.0,522.063345737638,39.0,5G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-02-14T12:08:18Z
701688,18,28,-79.5,-2.0,9.0,36.38441164644588,4.0,5G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-02-20T12:16:30Z
701753,9,97,-97.0,-1.0,8.0,55.08062503910655,38.0,5G,Operator B,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2024-12-31T10:55:09Z
701753,11,50,-94.5,-3.0,9.0,82.28085289398962,40.0,5G,Operator A,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2024-12-31T12:14:18Z
701753,13,46,-85.0,0.0,10.0,106.5417838935929,38.0,4G,Operator C,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2025-01-16T13:54:50Z
701753,15,69,-95.0,-3.0,8.0,71.38471230347447,33.0,5G,Operator A,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2025-01-16T13:42:40Z
701753,17,80,-94.0,0.0,8.0,89.24535505251109,42.0,5G,Operator A,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2025-02-14T12:10:58Z
701753,18,23,-93.0,-3.0,8.0,45.26118359582905,35.0,5G,Operator C,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2025-03-06T12:06:33Z
701753,20,23,-88.0,-2.0,7.0,91.52587429147506,43.0,5G,Operator A,101.6106956,3.06652472,0.00028,5.220311521299938,15.978066105232305,272.8721228534028,758.9207759791477,701753,2025-03-06T11:56:03Z
701775,5,54,-80.0,5.0,10.0,33.20206485899786,3.0,5G,Operator B,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2024-12-12T11:40:39Z
701775,7,28,-84.0,4.5,10.0,33.06114135932313,3.0,5G,Operator A,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2024-12-12T12:26:41Z
701775,10,53,-86.0,4.0,11.0,46.898750890302544,3.0,5G,Operator B,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2025-01-07T10:03:00Z
701775,12,32,-82.0,4.0,10.0,43.64151369090124,4.0,5G,Operator A,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2025-01-07T10:24:35Z
701775,14,66,-94.0,5.5,10.5,165.46907693545666,50.0,5G,Operator B,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2025-01-27T13:25:09Z
701775,16,7,-77.0,0.0,10.0,27.17384457735194,4.0,4G,Operator B,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2025-02-20T12:52:22Z
701775,18,28,-83.0,3.0,9.0,38.15715683709124,4.0,5G,Operator A,101.6027111,3.07277511,1.119623423,2.1215741289071453,3.636194368461824,356.5093726141213,131.37993837448846,701775,2025-02-20T12:12:01Z
701796,5,136,-88.5,0.0,10.0,103.40375975427142,3.0,5G,Operator B,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2024-12-12T11:42:31Z
701796,7,65,-89.0,1.0,9.0,89.62265734196488,4.0,5G,Operator A,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2024-12-12T12:28:54Z
701796,10,138,-94.0,0.0,9.5,113.41608097825406,4.0,5G,Operator B,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2025-01-07T10:04:36Z
701796,12,63,-104.0,0.0,9.0,161.66912798949795,4.0,5G,Operator A,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2025-01-07T10:18:39Z
701796,14,112,-106.0,-1.0,9.0,233.1789494156798,7.0,5G,Operator B,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2025-01-27T13:24:19Z
701796,16,11,-80.0,-6.0,9.0,52.48547360273744,3.0,4G,Operator B,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2025-02-20T12:53:56Z
701796,18,6,-82.0,3.0,6.0,40.3232851419024,4.0,5G,Operator A,101.6047775,3.07315645,7e-05,2.014305824881669,4.146506243962917,320.91522007269526,317.7472881200115,701796,2025-02-20T12:09:36Z
701806,1,5,-86.0,-3.0,10.0,368.66413673692546,0.0,4G,Operator C,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-03T11:54:19Z
701806,3,39,-95.0,3.0,9.0,259.79886684520216,14.0,5G,Operator B,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-10T11:40:05Z
701806,4,56,-85.0,3.0,10.0,334.6265518507766,17.0,4G,Operator C,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-10T12:56:47Z
701806,5,93,-92.0,-1.0,9.0,351.8231041418989,5.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-10T12:18:34Z
701806,7,38,-97.5,-4.0,9.0,393.307916620215,4.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-12T12:34:18Z
701806,9,451,-87.0,8.0,11.0,140.4162078234267,34.0,5G,Operator B,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-31T10:51:17Z
701806,10,61,-104.0,-2.0,9.0,425.1665475436103,4.0,5G,Operator C,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-07T10:11:25Z
701806,11,183,-83.0,11.0,10.0,141.47593385828057,35.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2024-12-31T12:09:57Z
701806,12,51,-102.0,0.0,10.0,328.9086140041719,4.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-07T10:17:09Z
701806,13,203,-89.0,2.0,10.0,77.9515781318719,30.0,5G,Operator B,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-16T13:50:53Z
701806,14,143,-95.0,3.0,9.0,239.30570499581503,9.0,5G,Operator B,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-16T13:02:13Z
701806,15,326,-84.0,5.0,10.0,119.14659264252592,28.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-16T13:45:18Z
701806,16,50,-94.0,3.0,8.0,260.24991028708365,13.0,5G,Operator A,101.6101976,3.07598075,2.179637671,4.588981914750556,5.86841364508085,383.63825069752494,17.319003995829355,701806,2025-01-27T14:13:44Z
