tower_id,evi_median,evi_p10,soil_moisture_mean,soil_moisture_p90,clay_pct,land_cover_class,gsw_occurrence_pct,gsw_recurrence_pct,land_cover_label
MY_N13685405063,0.43579516420348885,0.22781675608749483,0.3839205503463745,0.5089246034622192,28.0,50.0,0.0,0.0,Built-up
MY_N3902995324,0.4679719330013581,0.38050457765441814,0.3069496750831604,0.3515909016132355,28.0,10.0,0.0,0.0,Tree cover
MY_N4958058752,0.10704380369764324,0.05288442458679465,0.3791802227497101,0.4185383915901184,29.0,40.0,0.0,0.0,Cropland
MY_N12546408507,0.5624439187535688,0.45863719234275296,0.38025930523872375,0.504949688911438,28.0,30.0,0.0,0.0,Grassland
MY_N12546408513,0.4658350154342717,0.3282302019878166,0.38025930523872375,0.504949688911438,28.0,30.0,0.0,0.0,Grassland
MY_W810687871,0.1740237691001698,0.13437285026370102,0.38025930523872375,0.504949688911438,30.0,10.0,0.0,0.0,Tree cover
MY_N13459535295,0.09883829866966462,0.054617888965044555,0.4419810175895691,0.5203427672386169,26.0,50.0,0.0,0.0,Built-up
MY_N11972377225,0.2967265854914354,0.21898621609604266,0.3069496750831604,0.3515909016132355,30.0,10.0,0.0,0.0,Tree cover
MY_N4963875869,0.5434984376151721,0.3889012208657049,0.3791802227497101,0.4185383915901184,26.0,50.0,22.0,92.0,Built-up
MY_W1312628412,0.40276038896698163,0.3321621839916,0.38025930523872375,0.504949688911438,32.0,10.0,0.0,0.0,Tree cover
MY_N8791272543,0.44256498854915827,0.3614557485525227,0.32935699820518494,0.359955370426178,29.0,10.0,0.0,0.0,Tree cover
MY_N4970042970,0.4769356882032938,0.3671612489145619,0.3791802227497101,0.4185383915901184,30.0,10.0,0.0,0.0,Tree cover
MY_W822583264,0.1377149325382917,0.09833721335678425,0.38025930523872375,0.504949688911438,27.0,10.0,0.0,0.0,Tree cover
MY_W822583298,0.4346371792853771,0.19516834696595017,0.38025930523872375,0.504949688911438,28.0,50.0,0.0,0.0,Built-up
MY_W818064274,0.43810195966644094,0.3259061460339695,0.38025930523872375,0.504949688911438,32.0,10.0,0.0,0.0,Tree cover
MY_N6555076109,0.4634972403411941,0.36735379319031014,0.3791802227497101,0.4185383915901184,27.0,50.0,0.0,0.0,Built-up
MY_N4970042971,0.4336562763268745,0.3059698109786501,0.3791802227497101,0.4185383915901184,28.0,50.0,0.0,0.0,Built-up
MY_N9324749766,0.10462074124260877,0.06797161537234889,0.3839205503463745,0.5089246034622192,30.0,50.0,0.0,0.0,Built-up
MY_W1492798729,0.14770904847882546,0.12301601983055238,0.3839205503463745,0.5089246034622192,24.0,50.0,0.0,0.0,Built-up
MY_W1311799403,0.24817461550411685,0.19256961259079897,0.38025930523872375,0.504949688911438,26.0,30.0,0.0,0.0,Grassland
