tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,elevation_m,state,osm_type,osm_id,operator,tower_source,terrain_source,hand_source,water_power_source
MY_N4124069728,101.5357823,3.0143691,UNKNOWN,98.25306348805388,6.405762196,3.6312339861887883,9.182994453389796,,396.7894252615218,,,12.606270790100098,Selangor,node,4124069728,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N8141381598,101.536016,3.1809599,UNKNOWN,415.00478697485687,4.580516815,3.876381123624711,6.773723858055155,,184.50355946258358,,,37.22611618041992,Selangor,node,8141381598,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N4124069729,101.5368766,3.0141608,UNKNOWN,3.4311987561995574,6.311694145,4.0942680279004815,7.340209558416746,,358.7348862079121,,,12.725834846496582,Selangor,node,4124069729,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N11358783333,101.5373316,3.0203822,UNKNOWN,406.3379859874929,4.919228554,4.08045669569358,6.241127851252695,,815.8557635569607,,,10.283549308776855,Selangor,node,11358783333,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N4124069730,101.5379754,3.0186893,UNKNOWN,400.69465496397146,9.578784943,8.652437204386864,10.879647969355263,,855.7002335937156,,,12.832481384277344,Selangor,node,4124069730,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N11975720519,101.5428187,3.1812346,UNKNOWN,200.74288430630114,0.0,2.1444034772172755,2.4369075935450835,,134.55394365294302,,,26.569875717163086,Selangor,node,11975720519,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1258179518,101.5432011,5.6052323,UNKNOWN,5660.656741404114,171.206787109,15.862333218579295,19.70589051513099,,1089.583499354599,,,1095.8447265625,Perak,way,1258179518,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1286305455,101.5440788,3.2552759,UNKNOWN,471.1543546472604,96.412826538,10.04891665122067,15.06268660631758,,1220.8783456748504,,,154.01351928710938,Selangor,way,1286305455,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1286305456,101.5442321,3.254675,UNKNOWN,473.020557659786,111.359710693,9.426144302203742,19.36321447329346,,1223.9968868468354,,,159.54769897460938,Selangor,way,1286305456,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N8141531800,101.5442839,3.179511,UNKNOWN,265.42120615083144,0.396411091,0.6655674242077546,1.3586267364368083,,170.74224481225932,,,28.018156051635742,Selangor,node,8141531800,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
