osm_type,osm_id,lon,lat,man_made,tower_type,operator,name,radio,mobile_phone,tags_json,tower_id
node,11875484218,115.0089093,4.7553069,mast,communication,,LMN 5G DNB (DQLBG0538),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""LMN 5G DNB (DQLBG0538)"", ""tower:type"": ""communication""}",MY_N11875484218
node,3458624508,115.0102682,4.7437593,tower,communication,,Bukit Mas Com Tower No.1,UNKNOWN,,"{""man_made"": ""tower"", ""name"": ""Bukit Mas Com Tower No.1"", ""tower:type"": ""communication""}",MY_N3458624508
node,4798173661,115.0700936,4.544374,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N4798173661
node,4822914443,115.1642575,5.2616951,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N4822914443
node,7033248825,115.2093483,4.8859239,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N7033248825
node,11521176120,115.2380949,5.2573822,communications_tower,communication,Asian Supply Base,ASB Communications Tower,UNKNOWN,yes,"{""communication:gsm-r"": ""yes"", ""communication:microwave"": ""yes"", ""communication:mobile_phone"": ""yes"", ""communication:radio"": ""yes"", ""man_made"": ""communications_tower"", ""name"": ""ASB Communications Tower"", ""operator"": ""Asian Supply Base"", ""tower:construction"": ""lattice"", ""tower:type"": ""communication""}",MY_N11521176120
node,3269166213,115.8785251,5.1293686,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""source"": ""bing"", ""tower:type"": ""communication""}",MY_N3269166213
node,10125233295,116.067224,5.9534048,mast,communication,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10125233295
node,10125233294,116.0675271,5.9534155,mast,communication,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10125233294
node,10251772774,116.0864836,5.9769392,mast,communication,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N10251772774
node,10137863759,116.1046475,5.95468,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N10137863759
node,10263911645,116.1046918,5.9542612,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N10263911645
node,10264085957,116.1070508,5.9547427,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N10264085957
node,10264190520,116.1129114,5.954528,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N10264190520
node,10179178545,116.1169428,6.0017349,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:construction"": ""freestanding"", ""tower:type"": ""communication""}",MY_N10179178545
node,12462362562,116.1217036,6.0687708,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462362562
node,12462421365,116.1219144,6.0670439,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462421365
node,12462360044,116.1220885,6.0663475,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462360044
node,12462366356,116.1225968,6.0679841,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462366356
node,12462397948,116.1227864,6.0692542,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462397948
node,12462360043,116.1228103,6.0663636,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462360043
node,12462360045,116.1230036,6.0656816,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462360045
node,12462362561,116.1230742,6.0705978,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462362561
node,12462366355,116.1232976,6.067465,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462366355
node,12462397947,116.1235193,6.0687216,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462397947
node,12462445716,116.1237502,6.0656688,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462445716
node,12462366354,116.1240107,6.0669388,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462366354
node,12462397946,116.1242383,6.0681893,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462397946
node,12462445717,116.1243832,6.0652034,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462445717
node,12462362564,116.1243951,6.0674995,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12462362564
