tower_id,evi_median_recent,evi_median_baseline,evi_delta_per_year,land_cover_changed,window_recent,window_baseline
MY_N8263445803,0.509539428096272,0.503112386687417,0.003213520704427486,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8099999650,0.3259952302329848,0.5118891667659086,-0.09294696826646187,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7923607620,0.1977621182863924,0.1703166174314487,0.013722750427471841,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11221657074,0.3562259461524123,0.3759080172913231,-0.009841035569455397,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8066614434,0.30700584975730105,0.2871470766138867,0.009929386571707166,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8068563589,0.4310705251365811,0.40613568340538747,0.012467420865596823,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5380592531,0.35929029078363733,0.3371177965407001,0.011086247121468606,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N2419619291,0.1558051858121105,0.16936479251180564,-0.0067798033498475685,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9938117617,0.053840976829151045,0.048634105960264934,0.0026034354344430556,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1144244595,0.35630877965230023,0.3191959660036803,0.01855640682430998,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8221431663,0.5407232719118416,0.5477306452635023,-0.0035036866758303975,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11738300326,0.3832570832330043,0.3102796674225246,0.03648870790523984,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1259361634,0.4202227087486258,0.4175700087373254,0.0013263500056501787,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N14031280271,0.24336706286305754,0.24643066692743987,-0.0015318020321911652,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12603668089,0.3900001038106997,0.40361520366472703,-0.006807549927013656,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5230359448,0.5315562524500196,0.4650202491534989,0.033268001648260354,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8513142479,0.23164369695554,0.3027203927183472,-0.035538347881403615,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13331200729,0.6841922795352711,0.649376433787707,0.01740792287378201,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12988846941,0.37726860254083494,0.29067086759394456,0.04329886747344519,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11361040488,0.3340393307883087,0.2689516244829135,0.032543853152697616,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4282405794,0.35074342356080823,0.2878837044238125,0.031429859568497864,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N1989261313,0.5727580372250425,0.5112880352944629,0.030735000965289805,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4688736584,0.37860802199175314,0.3231420988122715,0.027732961589740812,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10230275358,0.313130333984483,0.3577294395705644,-0.022299552793040717,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12531429458,0.3572783965214585,0.308433734939759,0.02442233079084974,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8659560397,0.3833155080213904,0.37422823302112657,0.004543637500131925,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1261862989,0.30179271053190493,0.3920552677029362,-0.04513127858551563,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8148777715,0.2889429613425112,0.29307425622833183,-0.0020656474429103233,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10224694924,0.2755308239092292,0.36520363121512456,-0.044836403652947665,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12717364277,0.3633670228635485,0.30790269777464674,0.027732162544450878,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1258156597,0.40446735074144013,0.4655727408337914,-0.030552695046175637,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8088772324,0.32492324647721005,0.2929992394828484,0.015962003497180827,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10230298029,0.24889703276749509,0.22376093609808856,0.012568048334703263,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12926409708,0.4897125806356583,0.4777797696201805,0.005966405507738914,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8008855555,0.24116967116446658,0.28923155563128294,-0.02403094223340818,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1552737108,0.3138272770174611,0.30327584755242964,0.005275714732515729,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12038575594,0.4970381340244354,0.5228509937966831,-0.012906429886123838,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8490772188,0.3131578947368421,0.31391797556719025,-0.0003800404151740877,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8201683420,0.08269371345029242,0.09963136395337253,-0.008468825251540059,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8202178174,0.35583596214511043,0.2684197108205558,0.0437081256622773,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12927458268,0.3884870035968869,0.38690596767005625,0.0007905179634153381,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8009459244,0.3135574977419928,0.3040570541704447,0.004750221785774056,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8487785684,0.35734270928812994,0.3133102852203976,0.022016212033866167,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8487785683,0.175287597615249,0.19774265176182543,-0.01122752707328821,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8006989819,0.5000659427616828,0.4908336215842269,0.004616160588727963,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8125185377,0.20848269876608427,0.21346265439774514,-0.0024899778158304353,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8044656639,0.48468984072171384,0.49030136846032757,-0.0028057638693068654,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8148264450,0.2841254283581497,0.30406941529593234,-0.009971993468891327,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10317040484,0.15818513358698455,0.2118685154659168,-0.02684169093946613,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8044687304,0.42195608782435134,0.47765824569885984,-0.027851078937254248,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8044671936,0.3019718007720886,0.28434761452430307,0.008812093123892778,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8044156760,0.3195049185615224,0.2769367647668838,0.021284076897319315,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10923563956,0.33640052781379215,0.2914299827117808,0.022485272551005686,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8143719855,0.2044515233556105,0.3324846709570251,-0.0640165738007073,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5599579030,0.2589933328448971,0.2693306525927789,-0.005168659873940884,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8281177692,0.4917327949860379,0.47548765210761984,0.008122571439209025,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10672756622,0.3334363889050094,0.2818784972540726,0.025778945825468386,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8044980541,0.44139728000429607,0.5224732849335182,-0.04053800246461106,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N403749609,0.18292250729091641,0.25765712043340877,-0.03736730657124618,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5453636981,0.5468564049119364,0.5204148307587297,0.013220787076603346,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
